1st_keyword,2ed_keyword,review
음식이 맛있어요,재료가 신선해요,맛 굳굳굳
특별한 메뉴가 있어요,양이 많아요,육회덮밥 맛있었어용. 재방문 의사 있어요.🤍
음식이 맛있어요,,맛있어용
음식이 맛있어요,친절해요,가지덮밥 맛있어욤👍
음식이 맛있어요,재료가 신선해요,굿
,,"이런 리뷰 써보는거 첨이네요
소고기가지덮밥 너무 맛있게 잘 먹었어요~
점심시간에 가니 딱 1자리 남아있어서 바로 먹을 수 있었는데,
직원분도 사장님도 여전히 너무 친절하시고..
가게 분위기도 좋고 너무 이뻐요ㅠㅠ!!
가지는 입도 안대던 제가 가지덮밥생각이 나서 먼길을 왔습니다ㅠㅠ
몇년 전에 예전 모미지식당에서 먹은게 계속 생각나더라구요!
또 서울오면 모미지식당 필수코스>.ㅇ
사장님 번창하세오!"
친절해요,양이 많아요,"지독한 가지덮밥 사랑
맛있어요"
음식이 맛있어요,양이 많아요,역시나 맛있는 가지덮밥
친절해요,,좋아요
음식이 맛있어요,,맛집
음식이 맛있어요,가성비가 좋아요,엄청 맛있어요! 육회비빔밥도 고소하니 맛있고 가지덮밥도 최고에요. 근데 가격도 괜찮아서 또 방문할거에요ㅎㅎ
음식이 맛있어요,,가지덮밥 맛나요
친절해요,음식이 맛있어요,최고의 가지덮밥
친절해요,가성비가 좋아요,모미지 육회덮밥 최고
친절해요,음식이 맛있어요,"말해뭐해~ 
최고의 맛,
최고의 친절함~
가지나물의 트라우마를 극복하게 해준 
인생 가지덮밥집"
음식이 맛있어요,,맛있어요
친절해요,음식이 맛있어요,:)
음식이 맛있어요,,존맛
매장이 청결해요,혼밥하기 좋아요,굿
친절해요,,
,,육회뎦밥 존맛탱~
재료가 신선해요,음식이 맛있어요,육회덮밥 맛있어요!
혼밥하기 좋아요,음식이 맛있어요,가지덮밥이 정말 너무 맛있어요
,,"오랜만에 재방문했어요! 
육회 양도 많고 너무 맛있어용
셀프바에 황도 있어서 진짜 좋았어요"
특별한 메뉴가 있어요,재료가 신선해요,육회 너무너무 신선하고 맛있어요
친절해요,음식이 맛있어요,가지 맛있음
혼밥하기 좋아요,,..
친절해요,음식이 맛있어요,맛있고 친절해요!
음식이 맛있어요,특별한 메뉴가 있어요,꿀맛
음식이 맛있어요,친절해요,
음식이 맛있어요,,굿
,,육회비빔밥 그냥.. 그래요 맛집이라 그래서 먹었는데 별로.. 다른 리뷰에 있는 것처럼 달아요 리뷰 보면 다들 맛있다는데 극소수 리뷰만 유별난가 했는데 아니었어요 다른 친구들도 가봤는데 별로라고 하네요 더 가고 싶진 않아요
매장이 청결해요,,좋아요
재료가 신선해요,음식이 맛있어요,다음에 또 가서 먹으려구요~~
음식이 맛있어요,,좋아요
친절해요,,굿
특별한 메뉴가 있어요,혼밥하기 좋아요,좋아요
,,오늘도 역시 맛있었습니다! 다만 오늘따라 밥이 조금 설익은 느낌이 있었어요! 그래도 잘 먹었습니다 :)
,,화장실은 가지마세요!
음식이 맛있어요,특별한 메뉴가 있어요,굿
,,"#소고기가지덮밥 맛있게 잘먹었습니다!!
다음에 제육우동 먹으러 또 갈거에요!"
혼밥하기 좋아요,친절해요,맛있어요!!
혼밥하기 좋아요,매장이 넓어요,.
,,설거지하고왔어요… 존맛
,,가지 맛잇어용~~!!
,,가지덮밥 너무 맛잇어요ㅠㅠㅠㅠ 특히 반찬도 밥도 듬뿍 담아주셔서 너무 배부르게 잘 먹었습니다! 다음에는 다른 메뉴 도전해볼게요!!
친절해요,매장이 청결해요,맛있어요
,,깔끔하니 맛있어요 ღ
,,가지 안 좋아한다는 편견 아래 안 드셔보신 분들은 꼭 여기 가지소고기덮밥 드셔보셨으면 좋겠어요! 진짜 맛남 육회덮밥도 퀄좋음
혼밥하기 좋아요,음식이 맛있어요,육회덮밥 진짜 맛있음
,,육회비빔밥 맛있어요.
,,"진짜 대박 너무 맛있어요...
정갈하면서도 깔끔하고, 가격도 적당하구!!
혼밥하기 딱 좋아요 (♡´౪`♡)
우리 학교 앞이라 행복합니다ㅠㅠ"
음식이 맛있어요,특별한 메뉴가 있어요,직원분들도 너무 친절하시고 음식도 맛있어요!!ㅎㅎ
,,"서비스 맛 가격, 모두 최고예요!"
,,항상 친절하시고 맛있어요
,,맛있고 친절하셔서 넘 좋아요
,,사장님이 진짜 너무너무 친절하세요
,,맛있고 저렴해요 이대 맛집
음식이 맛있어요,가성비가 좋아요,가지덮밥 JMT
,,소고기 가지 덮밥 최애 진짜 맛있고 건강한 맛 !
,,언제나 맛있어요
,,가지덮 밥. 너 ~무 맛있어요 ^^
,,맛있어서 몇번을 먹는지 모르겠네요
재료가 신선해요,가성비가 좋아요,가지덮밥 정말 맛있어욜
,,와 진짜 짱짱 가지 안먹는데 여기서 먹고 가지에 눈떴어요
,,"가지덮밥, 육회덮밥, 제육덮밥 맛나용~^^"
,,"육회 엄청 좋아하는데 이집 정말 맛있네요!
고기양도 많고 전체적으로 푸짐하게 나오니
만족스러워요. 생고추냉이가 포인트로 육회랑 같이 먹음 최고!"
,,"가지덮밥 맛있어요.
고로케도 3가지맛으로 좋아요"
,,"육회덮밥과 가지덮밥 둘다 맛있어요
육회를 좋아하지 않던 친구도 맛있다고 잘 먹었어요"
,,
,,맛있어요 굉장히 부드러워요. 저는 가지 식감을 좋아하는데 넘 부드러워서 그 점은 조금 아쉬웠네요 그래도 잘 먹었습니다^^
,,가지덮밥 맛있어요
,,맛있어요!!
,,가지덮밥 맛잇네요
,,육회덮밥 완전 맛있어요
,,식당 깔끔하고 육회덮밥 맛있어요
,,육회가 입에 들어간 순간 행복해져요♥️
,,학교앞 맛집이에요!!
,,아주 맛나요 ㅎ
,,맛있어요 !!
,,굿입니다
,,맛있어요!
,,맛있어요
